date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:09:32	53959/53959	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20Jan%202023%2002:35:15%20GMT	https://pxdraft.com/themeforest/tapsi/index-01-dark.html	D:/P2/portfolio/pxdraft.com/themeforest/tapsi/index-01-dark.html	(from )
22:09:36	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2003%20Sep%202023%2016:39:30%20GMT	https://pxdraft.com/robots.txt		(from )
22:09:37	1150/1150	---M-Z	200	added ('OK')	image/x-icon	date:Mon,%2023%20Jan%202023%2002:35:16%20GMT	https://pxdraft.com/themeforest/tapsi/favicon.ico	D:/P2/portfolio/pxdraft.com/themeforest/tapsi/favicon.ico	(from https://pxdraft.com/themeforest/tapsi/index-01-dark.html)
22:09:37	42313/42313	---M-Z	200	added ('OK')	text/css	date:Mon,%2023%20Jan%202023%2002:35:31%20GMT	https://pxdraft.com/themeforest/tapsi/assets/css/style.css	D:/P2/portfolio/pxdraft.com/themeforest/tapsi/assets/css/style.css	(from https://pxdraft.com/themeforest/tapsi/index-01-dark.html)
22:09:39	610/610	---M-Z	200	added ('OK')	text/css	date:Mon,%2023%20Jan%202023%2002:35:26%20GMT	https://pxdraft.com/themeforest/tapsi/assets/colors/color-3.css	D:/P2/portfolio/pxdraft.com/themeforest/tapsi/assets/colors/color-3.css	(from https://pxdraft.com/themeforest/tapsi/index-01-dark.html)
22:09:39	5771/5771	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2023%20Jan%202023%2002:35:33%20GMT	https://pxdraft.com/themeforest/tapsi/assets/img/logo.svg	D:/P2/portfolio/pxdraft.com/themeforest/tapsi/assets/img/logo.svg	(from https://pxdraft.com/themeforest/tapsi/index-01-dark.html)
22:09:39	5771/5771	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2023%20Jan%202023%2002:35:33%20GMT	https://pxdraft.com/themeforest/tapsi/assets/img/logo-light.svg	D:/P2/portfolio/pxdraft.com/themeforest/tapsi/assets/img/logo-light.svg	(from https://pxdraft.com/themeforest/tapsi/index-01-dark.html)
22:09:40	16837/16837	---M--	200	added ('OK')	image/jpeg	date:Mon,%2023%20Jan%202023%2002:35:33%20GMT	https://pxdraft.com/themeforest/tapsi/assets/img/mask.jpg	D:/P2/portfolio/pxdraft.com/themeforest/tapsi/assets/img/mask.jpg	(from https://pxdraft.com/themeforest/tapsi/index-01-dark.html)
22:09:41	115991/115991	---M--	200	added ('OK')	image/jpeg	date:Mon,%2023%20Jan%202023%2002:35:33%20GMT	https://pxdraft.com/themeforest/tapsi/assets/img/home-banner.jpg	D:/P2/portfolio/pxdraft.com/themeforest/tapsi/assets/img/home-banner.jpg	(from https://pxdraft.com/themeforest/tapsi/index-01-dark.html)
22:09:42	146495/146495	---M--	200	added ('OK')	image/jpeg	date:Mon,%2023%20Jan%202023%2002:35:31%20GMT	https://pxdraft.com/themeforest/tapsi/assets/img/about-banner.jpg	D:/P2/portfolio/pxdraft.com/themeforest/tapsi/assets/img/about-banner.jpg	(from https://pxdraft.com/themeforest/tapsi/index-01-dark.html)
22:09:43	39020/39020	---M--	200	added ('OK')	image/jpeg	date:Mon,%2023%20Jan%202023%2002:35:33%20GMT	https://pxdraft.com/themeforest/tapsi/assets/img/project-2.jpg	D:/P2/portfolio/pxdraft.com/themeforest/tapsi/assets/img/project-2.jpg	(from https://pxdraft.com/themeforest/tapsi/index-01-dark.html)
22:09:43	87405/87405	---M--	200	added ('OK')	image/jpeg	date:Mon,%2023%20Jan%202023%2002:35:33%20GMT	https://pxdraft.com/themeforest/tapsi/assets/img/project-1.jpg	D:/P2/portfolio/pxdraft.com/themeforest/tapsi/assets/img/project-1.jpg	(from https://pxdraft.com/themeforest/tapsi/index-01-dark.html)
22:09:44	49601/49601	---M--	200	added ('OK')	image/jpeg	date:Mon,%2023%20Jan%202023%2002:35:34%20GMT	https://pxdraft.com/themeforest/tapsi/assets/img/project-3.jpg	D:/P2/portfolio/pxdraft.com/themeforest/tapsi/assets/img/project-3.jpg	(from https://pxdraft.com/themeforest/tapsi/index-01-dark.html)
22:09:44	53940/53940	---M--	200	added ('OK')	image/jpeg	date:Mon,%2023%20Jan%202023%2002:35:35%20GMT	https://pxdraft.com/themeforest/tapsi/assets/img/project-4.jpg	D:/P2/portfolio/pxdraft.com/themeforest/tapsi/assets/img/project-4.jpg	(from https://pxdraft.com/themeforest/tapsi/index-01-dark.html)
22:09:45	41601/41601	---M--	200	added ('OK')	image/jpeg	date:Mon,%2023%20Jan%202023%2002:35:34%20GMT	https://pxdraft.com/themeforest/tapsi/assets/img/project-5.jpg	D:/P2/portfolio/pxdraft.com/themeforest/tapsi/assets/img/project-5.jpg	(from https://pxdraft.com/themeforest/tapsi/index-01-dark.html)
22:09:45	62195/62195	---M--	200	added ('OK')	image/jpeg	date:Mon,%2023%20Jan%202023%2002:35:35%20GMT	https://pxdraft.com/themeforest/tapsi/assets/img/project-6.jpg	D:/P2/portfolio/pxdraft.com/themeforest/tapsi/assets/img/project-6.jpg	(from https://pxdraft.com/themeforest/tapsi/index-01-dark.html)
22:09:45	19370/19370	---M--	200	added ('OK')	image/jpeg	date:Mon,%2023%20Jan%202023%2002:35:31%20GMT	https://pxdraft.com/themeforest/tapsi/assets/img/avatar-1.jpg	D:/P2/portfolio/pxdraft.com/themeforest/tapsi/assets/img/avatar-1.jpg	(from https://pxdraft.com/themeforest/tapsi/index-01-dark.html)
22:09:46	14090/14090	---M--	200	added ('OK')	image/jpeg	date:Mon,%2023%20Jan%202023%2002:35:31%20GMT	https://pxdraft.com/themeforest/tapsi/assets/img/avatar-2.jpg	D:/P2/portfolio/pxdraft.com/themeforest/tapsi/assets/img/avatar-2.jpg	(from https://pxdraft.com/themeforest/tapsi/index-01-dark.html)
22:09:46	21701/21701	---M--	200	added ('OK')	image/jpeg	date:Mon,%2023%20Jan%202023%2002:35:31%20GMT	https://pxdraft.com/themeforest/tapsi/assets/img/avatar-3.jpg	D:/P2/portfolio/pxdraft.com/themeforest/tapsi/assets/img/avatar-3.jpg	(from https://pxdraft.com/themeforest/tapsi/index-01-dark.html)
22:09:47	89476/89476	---MCZ	200	added ('OK')	application/x-javascript	date:Mon,%2023%20Jan%202023%2002:35:38%20GMT	https://pxdraft.com/themeforest/tapsi/assets/js/jquery-3.5.1.min.js	D:/P2/portfolio/pxdraft.com/themeforest/tapsi/assets/js/jquery-3.5.1.min.js	(from https://pxdraft.com/themeforest/tapsi/index-01-dark.html)
22:09:47	4228/4228	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2023%20Jan%202023%2002:35:45%20GMT	https://pxdraft.com/themeforest/tapsi/assets/vendor/appear/jquery.appear.js	D:/P2/portfolio/pxdraft.com/themeforest/tapsi/assets/vendor/appear/jquery.appear.js	(from https://pxdraft.com/themeforest/tapsi/index-01-dark.html)
